Unnamed: 0,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2,area_por_quarto,tem_vaga
2063,2023-12-06 12:58:26.543810,Vivareal,2649328869,"Kitnet/Conjugado com  Quarto para Aluguel, 36m²",Kitnet/Conjugado,"Centro, Florianópolis - SC",,,Centro,florianopolis,1250,Mês,0.0,36.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/kitnet-1-quartos-centro-bairros-florianopolis-36m2-aluguel-RS1250-id-2649328869/,Elevador; Interfone,Residencial,1250.0,34.72222222222222,0.0,36.0,1
2064,2023-12-06 12:58:26.545567,Vivareal,2636158863,"Kitnet/Conjugado com  Quarto para Aluguel, 19m²",Kitnet/Conjugado,"Carvoeira, Florianópolis - SC",,,Carvoeira,florianopolis,1350,Mês,0.0,19.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/kitnet-1-quartos-carvoeira-bairros-florianopolis-19m2-aluguel-RS1350-id-2636158863/,Interfone; Armário embutido; Ar-condicionado; Jardim,Residencial,1350.0,71.05263157894737,0.0,19.0,1
2066,2023-12-06 12:58:26.549019,Vivareal,2661653672,"Apartamento com 3 Quartos para Aluguel, 246m²",Apartamento,"Rua Gilmar Darli Vieira, 400 - Campeche, Florianópolis - SC",Rua Gilmar Darli Vieira,400.0, Campeche,florianopolis,8000,Mês,0.0,246.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-246m2-aluguel-RS8000-id-2661653672/,Garagem; Cozinha; Área de serviço,Residencial,8000.0,32.520325203252035,0.0,82.0,1
2068,2023-12-06 12:58:26.552445,Vivareal,2644317921,"Casa com 4 Quartos para Aluguel, 250m²",Casa,"Lagoa da Conceição, Florianópolis - SC",,,Lagoa da Conceição,florianopolis,12000,Mês,0.0,250.0,3.0,4.0,2.0,https://vivareal.com.br/imovel/casa-4-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-250m2-aluguel-RS12000-id-2644317921/,Piscina; Mobiliado; Varanda; Ar-condicionado; Jardim; ...,Residencial,12000.0,48.0,0.0,62.5,1
2071,2023-12-06 12:58:27.760733,Vivareal,2540862358,"Apartamento com 2 Quartos para Aluguel, 80m²",Apartamento,"Rua Madre Maria Vilac - Canasvieiras, Florianópolis - SC",Rua Madre Maria Vilac ,, Canasvieiras,florianopolis,3300,Mês,0.0,80.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-80m2-aluguel-RS3300-id-2540862358/,Piscina; Mobiliado; Condomínio fechado; Ar-condicionado; Jardim; ...,Residencial,3300.0,41.25,0.0,40.0,1
2074,2023-12-06 12:58:27.766027,Vivareal,2673648480,"Apartamento com  Quarto para Aluguel, 42m²",Apartamento,"Rua Martinho de Haro - Ingleses do Rio Vermelho, Florianópolis - SC",Rua Martinho de Haro ,, Ingleses do Rio Vermelho,florianopolis,1800,Mês,290.0,42.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-42m2-aluguel-RS1800-id-2673648480/,Varanda; Garagem; Cozinha; Aceita animais,Residencial,2090.0,42.85714285714285,6.904761904761905,42.0,1
2076,2023-12-06 12:58:27.769500,Vivareal,2643761391,"Apartamento com  Quarto para Aluguel, 37m²",Apartamento,"Avenida Campeche, 2930 - Campeche, Florianópolis - SC",Avenida Campeche,2930.0, Campeche,florianopolis,4100,Mês,500.0,37.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-campeche-bairros-florianopolis-com-garagem-37m2-aluguel-RS4100-id-2643761391/,Garagem,Residencial,4600.0,110.8108108108108,13.513513513513514,37.0,1
2077,2023-12-06 12:58:27.771172,Vivareal,2650079199,"Apartamento com 3 Quartos para Aluguel, 147m²",Apartamento,"Rua Delminda Silveira, 411 - Agronômica, Florianópolis - SC",Rua Delminda Silveira,411.0, Agronômica,florianopolis,2700,Mês,1202.0,147.0,1.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-agronomica-bairros-florianopolis-com-garagem-147m2-aluguel-RS2700-id-2650079199/,Interfone; Varanda; Área de serviço,Residencial,3902.0,18.367346938775512,8.17687074829932,49.0,1
2082,2023-12-06 12:58:27.779618,Vivareal,2671467902,"Apartamento com  Quarto para Aluguel, 30m²",Apartamento,"Rua Afonso Cardoso da Veiga, 228 - Canasvieiras, Florianópolis - SC",Rua Afonso Cardoso da Veiga,228.0, Canasvieiras,florianopolis,2000,Mês,500.0,30.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-30m2-aluguel-RS2000-id-2671467902/,,Residencial,2500.0,66.66666666666667,16.666666666666668,30.0,1
2084,2023-12-06 12:58:27.782984,Vivareal,2651097969,"Apartamento com  Quarto para Aluguel, 18m²",Apartamento,"Rodovia Tertuliano Brito Xavier, 2123 - Canasvieiras, Florianópolis - SC",Rodovia Tertuliano Brito Xavier,2123.0, Canasvieiras,florianopolis,3500,Mês,0.0,18.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/kitnet-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-18m2-aluguel-RS3500-id-2651097969/,Mobiliado; Churrasqueira; Condomínio fechado; Espaço gourmet; Ar-condicionado; ...,Residencial,3500.0,194.44444444444449,0.0,18.0,1
2085,2023-12-06 12:58:27.784714,Vivareal,2662080280,"Apartamento com 2 Quartos para Aluguel, 75m²",Apartamento,"Parque São Jorge, Florianópolis - SC",,,Parque São Jorge,florianopolis,4500,Mês,0.0,75.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-parque-sao-jorge-bairros-florianopolis-75m2-aluguel-RS4500-id-2662080280/,Ar-condicionado; Cozinha; Mobiliado; TV a cabo; Área de serviço,Residencial,4500.0,60.0,0.0,37.5,1
2086,2023-12-06 12:58:27.786402,Vivareal,2671610093,"Apartamento com 2 Quartos para Aluguel, 63m²",Apartamento,"Pantanal, Florianópolis - SC",,,Pantanal,florianopolis,2850,Mês,548.0,63.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-pantanal-bairros-florianopolis-com-garagem-63m2-aluguel-RS2850-id-2671610093/,,Residencial,3398.0,45.23809523809524,8.698412698412698,31.5,1
2087,2023-12-06 12:58:27.788088,Vivareal,2669118502,"Apartamento com  Quarto para Aluguel, 57m²",Apartamento,"Carvoeira, Florianópolis - SC",,,Carvoeira,florianopolis,3000,Mês,612.0,57.0,2.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-carvoeira-bairros-florianopolis-com-garagem-57m2-aluguel-RS3000-id-2669118502/,Jardim,Residencial,3612.0,52.63157894736842,10.736842105263158,57.0,1
